id,no_of_storeys,storey_variable
12663,3,Low
12664,4,Low
12665,5,Medium
12666,7,Medium
12667,4,Low
12668,4,Low
12669,6,Medium
12670,3,Low
12671,3,Low
12672,3,Low
12673,4,Low
12674,3,Low
12675,12,high
12676,6,Medium
12677,5,Medium
12678,4,Low
12679,3,Low
12680,6,Medium
12681,3,Low
12682,3,Low
12683,3,Low
12684,3,Low
12685,3,Low
12686,5,Medium
12687,4,Low
12688,6,Medium
12689,16,high
12690,16,high
12691,12,high
12692,19,high
12693,3,Low
12694,3,Low
12695,3,Low
12696,3,Low
12697,3,Low
12698,13,high
12699,4,Low
12700,6,Medium
12701,8,high
12702,4,Low
12703,5,Medium
12704,6,Medium
12705,3,Low
12706,3,Low
12707,6,Medium
12708,4,Low
12709,14,high
12710,17,high
12711,14,high
12712,8,high
12713,13,high
12714,10,high
12715,3,Low
12716,4,Low
12717,30,high
12718,33,high
12719,7,Medium
12720,24,high
12721,3,Low
12722,4,Low
12723,4,Low
12724,3,Low
12725,3,Low
12726,3,Low
12727,3,Low
12728,3,Low
12729,15,high
12730,20,high
12731,3,Low
12732,9,high
12733,3,Low
12734,3,Low
12735,11,high
12736,12,high
12737,18,high
12738,16,high
12739,16,high
12740,3,Low
12741,3,Low
12742,3,Low
12743,4,Low
12744,6,Medium
12745,4,Low
12746,16,high
12747,13,high
12748,3,Low
12749,3,Low
12750,3,Low
12751,4,Low
12752,4,Low
12753,6,Medium
12754,4,Low
12755,13,high
12756,6,Medium
12757,4,Low
12758,3,Low
12759,22,high
12760,12,high
12761,11,high
12762,3,Low
12763,3,Low
12764,4,Low
12765,3,Low
12766,9,high
12767,4,Low
12768,4,Low
12769,4,Low
12770,4,Low
12771,16,high
12772,4,Low
12773,9,high
12774,4,Low
12775,6,Medium
12776,6,Medium
12777,15,high
12778,12,high
12779,3,Low
12780,6,Medium
12781,15,high
12782,15,high
12783,7,Medium
12784,5,Medium
12785,3,Low
12786,3,Low
12787,8,high
12788,27,high
12789,9,high
12790,9,high
12791,20,high
12792,20,high
12793,43,high
12794,6,Medium
12795,6,Medium
12796,6,Medium
12797,7,Medium
12798,9,high
12799,6,Medium
12800,8,high
12801,4,Low
12802,4,Low
12803,9,high
12804,9,high
12805,3,Low
12806,12,high
12807,3,Low
12808,11,high
12809,19,high
12810,11,high
12811,3,Low
12812,3,Low
12813,3,Low
12814,4,Low
12815,4,Low
12816,13,high
12817,3,Low
12818,4,Low
12819,6,Medium
12820,10,high
12821,7,Medium
12822,4,Low
12823,4,Low
12824,5,Medium
12825,4,Low
12826,6,Medium
12827,4,Low
12828,8,high
12829,12,high
12830,3,Low
12831,9,high
12832,9,high
12833,18,high
12834,4,Low
12835,3,Low
12836,8,high
12837,4,Low
12838,5,Medium
12839,3,Low
12840,3,Low
12841,13,high
12842,10,high
12843,12,high
12844,4,Low
12845,4,Low
12846,4,Low
12847,8,high
12848,11,high
12849,4,Low
12850,18,high
12851,4,Low
12852,6,Medium
12853,6,Medium
12854,9,high
12855,4,Low
12856,3,Low
12857,4,Low
12858,6,Medium
12859,12,high
12860,9,high
12861,30,high
12862,3,Low
12863,3,Low
12864,6,Medium
12865,5,Medium
12866,10,high
12867,7,Medium
12868,3,Low
12869,3,Low
12870,3,Low
12871,7,Medium
12872,11,high
12873,11,high
12874,24,high
12875,23,high
12876,24,high
12877,4,Low
12878,7,Medium
12879,7,Medium
12880,3,Low
12881,7,Medium
12882,5,Medium
12883,3,Low
12884,3,Low
12885,3,Low
12886,11,high
12887,3,Low
12888,4,Low
12889,3,Low
12890,7,Medium
12891,6,Medium
12892,4,Low
12893,3,Low
12894,4,Low
12895,7,Medium
12896,15,high
12897,8,high
12898,4,Low
12899,4,Low
12900,3,Low
12901,7,Medium
12902,4,Low
12903,3,Low
12904,26,high
12905,10,high
12906,4,Low
12907,26,high
12908,4,Low
12909,4,Low
12910,8,high
12911,3,Low
12912,9,high
12913,5,Medium
12914,12,high
12915,13,high
12916,13,high
12917,3,Low
12918,7,Medium
12919,3,Low
12920,4,Low
12921,6,Medium
12922,5,Medium
12923,3,Low
12924,3,Low
12925,3,Low
12926,3,Low
12927,4,Low
12928,3,Low
12929,3,Low
12930,23,high
12931,3,Low
12932,18,high
12933,3,Low
12934,17,high
12935,3,Low
12936,29,high
12937,10,high
12938,5,Medium
12939,7,Medium
12940,6,Medium
12941,11,high
12942,3,Low
12943,3,Low
12944,3,Low
12945,4,Low
12946,3,Low
12947,3,Low
12948,3,Low
12949,6,Medium
12950,8,high
12951,3,Low
12952,3,Low
12953,6,Medium
12954,4,Low
12955,4,Low
12956,3,Low
12957,16,high
12958,4,Low
12959,7,Medium
12960,23,high
12961,6,Medium
12962,4,Low
12963,18,high
12964,25,high
12965,16,high
12966,15,high
12967,12,high
12968,6,Medium
12969,4,Low
12970,3,Low
12971,7,Medium
12972,9,high
12973,3,Low
12974,4,Low
12975,4,Low
12976,4,Low
12977,7,Medium
12978,18,high
12979,9,high
12980,24,high
12981,3,Low
12982,22,high
12983,3,Low
12984,14,high
12985,10,high
12986,7,Medium
12987,3,Low
12988,3,Low
12989,23,high
12990,14,high
12991,18,high
12992,19,high
12993,19,high
12994,4,Low
12995,6,Medium
12996,12,high
12997,21,high
12998,15,high
12999,3,Low
13000,13,high
13001,4,Low
13002,4,Low
13003,5,Medium
13004,7,Medium
13005,6,Medium
13006,10,high
13007,3,Low
13008,3,Low
13009,5,Medium
13010,11,high
13011,13,high
13012,4,Low
13013,21,high
13014,16,high
13015,4,Low
13016,18,high
13017,9,high
13018,7,Medium
13019,4,Low
13020,3,Low
13021,14,high
13022,10,high
13023,18,high
13024,4,Low
13025,4,Low
13026,4,Low
13027,8,high
13028,4,Low
13029,4,Low
13030,5,Medium
13031,5,Medium
13032,4,Low
13033,4,Low
13034,4,Low
13035,11,high
13036,7,Medium
13037,13,high
13038,17,high
13039,4,Low
13040,7,Medium
13041,5,Medium
13042,5,Medium
13043,21,high
13044,25,high
13045,4,Low
13046,15,high
13047,15,high
13048,11,high
13049,5,Medium
13050,6,Medium
13051,3,Low
13052,3,Low
13053,3,Low
13054,4,Low
13055,4,Low
13056,3,Low
13057,6,Medium
13058,15,high
13059,12,high
13060,8,high
13061,12,high
13062,5,Medium
13063,5,Medium
13064,3,Low
13065,6,Medium
13066,6,Medium
13067,3,Low
13068,18,high
13069,4,Low
13070,4,Low
13071,4,Low
13072,3,Low
13073,3,Low
13074,19,high
13075,7,Medium
13076,4,Low
13077,7,Medium
13078,4,Low
13079,4,Low
13080,16,high
13081,3,Low
13082,6,Medium
13083,7,Medium
13084,3,Low
13085,6,Medium
13086,4,Low
13087,4,Low
13088,13,high
13089,5,Medium
13090,4,Low
13091,4,Low
13092,25,high
13093,15,high
13094,4,Low
13095,6,Medium
13096,3,Low
13097,7,Medium
13098,9,high
13099,4,Low
13100,7,Medium
13101,14,high
13102,4,Low
13103,12,high
13104,6,Medium
13105,5,Medium
13106,10,high
13107,11,high
13108,4,Low
13109,3,Low
13110,4,Low
13111,15,high
13112,17,high
13113,3,Low
13114,3,Low
13115,3,Low
13116,19,high
13117,7,Medium
13118,3,Low
13119,7,Medium
13120,30,high
13121,7,Medium
13122,3,Low
13123,3,Low
13124,4,Low
13125,7,Medium
13126,8,high
13127,9,high
13128,10,high
13129,13,high
13130,10,high
13131,17,high
13132,4,Low
13133,3,Low
13134,6,Medium
13135,3,Low
13136,3,Low
13137,17,high
13138,4,Low
13139,8,high
13140,14,high
13141,17,high
13142,16,high
13143,19,high
13144,13,high
13145,3,Low
13146,15,high
13147,12,high
13148,3,Low
13149,5,Medium
13150,3,Low
13151,16,high
13152,3,Low
13153,5,Medium
13154,3,Low
13155,4,Low
13156,29,high
13157,4,Low
13158,28,high
13159,8,high
13160,32,high
13161,4,Low
13162,15,high
13163,4,Low
13164,3,Low
13165,3,Low
13166,12,high
13167,3,Low
13168,3,Low
13169,4,Low
13170,10,high
13171,15,high
13172,4,Low
13173,4,Low
13174,16,high
13175,16,high
13176,3,Low
13177,4,Low
13178,16,high
13179,8,high
13180,3,Low
13181,3,Low
13182,3,Low
13183,20,high
13184,7,Medium
13185,11,high
13186,26,high
13187,4,Low
13188,16,high
13189,11,high
13190,12,high
13191,6,Medium
13192,7,Medium
13193,9,high
13194,3,Low
13195,5,Medium
13196,4,Low
13197,3,Low
13198,9,high
13199,3,Low
13200,6,Medium
13201,11,high
13202,28,high
13203,23,high
13204,23,high
13205,15,high
13206,13,high
13207,12,high
13208,22,high
13209,3,Low
13210,17,high
13211,20,high
13212,8,high
13213,16,high
13214,4,Low
13215,4,Low
13216,4,Low
13217,4,Low
13218,4,Low
13219,23,high
13220,14,high
13221,3,Low
13222,8,high
13223,4,Low
13224,4,Low
13225,4,Low
13226,7,Medium
13227,9,high
13228,7,Medium
13229,7,Medium
13230,5,Medium
13231,4,Low
13232,15,high
13233,8,high
13234,3,Low
13235,3,Low
13236,3,Low
13237,7,Medium
13238,4,Low
13239,3,Low
13240,4,Low
13241,3,Low
13242,23,high
13243,19,high
13244,24,high
13245,14,high
13246,3,Low
13247,10,high
13248,15,high
13249,13,high
13250,20,high
13251,4,Low
13252,4,Low
13253,4,Low
13254,4,Low
13255,3,Low
13256,3,Low
13257,15,high
13258,14,high
13259,11,high
13260,11,high
13261,7,Medium
13262,7,Medium
13263,5,Medium
13264,4,Low
13265,9,high
13266,9,high
13267,5,Medium
13268,10,high
13269,4,Low
13270,4,Low
13271,4,Low
13272,4,Low
13273,7,Medium
13274,7,Medium
13275,3,Low
13276,14,high
13277,11,high
13278,25,high
13279,4,Low
13280,4,Low
13281,7,Medium
13282,4,Low
13283,3,Low
13284,4,Low
13285,3,Low
13286,14,high
13287,16,high
13288,16,high
13289,4,Low
13290,8,high
13291,4,Low
13292,4,Low
13293,22,high
13294,4,Low
13295,5,Medium
13296,3,Low
13297,3,Low
13298,3,Low
13299,8,high
13300,5,Medium
13301,5,Medium
13302,3,Low
13303,4,Low
13304,7,Medium
13305,7,Medium
13306,5,Medium
13307,4,Low
13308,3,Low
13309,4,Low
13310,4,Low
13311,7,Medium
13312,12,high
13313,7,Medium
13314,6,Medium
13315,7,Medium
13316,16,high
13317,13,high
13318,13,high
13319,4,Low
13320,3,Low
13321,3,Low
13322,7,Medium
13323,9,high
13324,5,Medium
13325,3,Low
13326,3,Low
13327,15,high
13328,6,Medium
13329,3,Low
13330,3,Low
13331,24,high
13332,18,high
13333,4,Low
13334,12,high
13335,4,Low
13336,6,Medium
13337,5,Medium
13338,8,high
13339,5,Medium
13340,4,Low
13341,6,Medium
13342,6,Medium
13343,11,high
13344,4,Low
13345,6,Medium
13346,6,Medium
13347,9,high
13348,7,Medium
13349,6,Medium
13350,7,Medium
13351,4,Low
13352,6,Medium
13353,3,Low
13354,25,high
13355,10,high
13356,13,high
13357,31,high
13358,3,Low
13359,3,Low
13360,15,high
13361,27,high
13362,10,high
13363,4,Low
13364,9,high
13365,23,high
13366,6,Medium
13367,5,Medium
13368,4,Low
13369,20,high
13370,23,high
13371,4,Low
13372,8,high
13373,10,high
13374,4,Low
13375,4,Low
13376,6,Medium
13377,9,high
13378,5,Medium
13379,4,Low
13380,4,Low
13381,3,Low
13382,4,Low
13383,20,high
13384,3,Low
13385,10,high
13386,3,Low
13387,3,Low
13388,3,Low
13389,4,Low
13390,5,Medium
13391,4,Low
13392,4,Low
13393,3,Low
13394,3,Low
13395,3,Low
13396,14,high
13397,3,Low
13398,4,Low
13399,4,Low
13400,9,high
13401,4,Low
13402,8,high
13403,14,high
13404,6,Medium
13405,4,Low
13406,3,Low
13407,4,Low
13408,7,Medium
13409,3,Low
13410,3,Low
13411,3,Low
13412,5,Medium
13413,10,high
13414,3,Low
13415,3,Low
13416,7,Medium
13417,10,high
13418,5,Medium
13419,5,Medium
13420,12,high
13421,6,Medium
13422,6,Medium
13423,4,Low
13424,3,Low
13425,4,Low
13426,15,high
13427,15,high
13428,14,high
13429,10,high
13430,11,high
13431,24,high
13432,5,Medium
13433,3,Low
13434,8,high
13435,6,Medium
13436,4,Low
13437,3,Low
13438,6,Medium
13439,4,Low
13440,3,Low
13441,3,Low
13442,7,Medium
13443,3,Low
13444,3,Low
13445,4,Low
13446,4,Low
13447,3,Low
13448,12,high
13449,6,Medium
13450,12,high
13451,3,Low
13452,3,Low
13453,4,Low
13454,6,Medium
13455,4,Low
13456,15,high
13457,3,Low
13458,4,Low
13459,15,high
13460,3,Low
13461,3,Low
13462,3,Low
13463,3,Low
13464,3,Low
13465,3,Low
13466,3,Low
13467,3,Low
13468,7,Medium
13469,7,Medium
13470,7,Medium
13471,5,Medium
13472,5,Medium
13473,3,Low
13474,9,high
13475,7,Medium
13476,4,Low
13477,4,Low
13478,3,Low
13479,10,high
13480,3,Low
13481,3,Low
13482,7,Medium
13483,5,Medium
13484,6,Medium
13485,7,Medium
13486,8,high
13487,4,Low
13488,5,Medium
13489,3,Low
13490,5,Medium
13491,4,Low
13492,3,Low
13493,4,Low
13494,11,high
13495,6,Medium
13496,3,Low
13497,3,Low
13498,3,Low
13499,3,Low
13500,4,Low
13501,4,Low
13502,4,Low
13503,4,Low
13504,11,high
13505,7,Medium
13506,24,high
13507,16,high
13508,4,Low
13509,4,Low
13510,4,Low
13511,6,Medium
13512,6,Medium
13513,5,Medium
13514,8,high
13515,14,high
13516,25,high
13517,4,Low
13518,4,Low
13519,3,Low
13520,32,high
13521,3,Low
13522,30,high
13523,3,Low
13524,12,high
13525,3,Low
13526,4,Low
13527,18,high
13528,5,Medium
13529,7,Medium
13530,18,high
13531,9,high
13532,16,high
13533,3,Low
13534,19,high
13535,19,high
13536,22,high
13537,4,Low
13538,6,Medium
13539,4,Low
13540,16,high
13541,3,Low
13542,4,Low
13543,4,Low
13544,4,Low
13545,3,Low
13546,4,Low
13547,4,Low
13548,4,Low
13549,3,Low
13550,3,Low
13551,4,Low
13552,3,Low
13553,4,Low
13554,4,Low
13555,3,Low
13556,3,Low
13557,3,Low
13558,3,Low
13559,3,Low
13560,7,Medium
13561,3,Low
13562,7,Medium
13563,4,Low
13564,4,Low
13565,13,high
13566,7,Medium
13567,6,Medium
13568,4,Low
13569,4,Low
13570,7,Medium
13571,8,high
13572,13,high
13573,15,high
13574,8,high
13575,7,Medium
13576,9,high
13577,5,Medium
13578,3,Low
13579,12,high
13580,16,high
13581,3,Low
13582,3,Low
13583,3,Low
13584,3,Low
13585,14,high
13586,14,high
13587,15,high
13588,4,Low
13589,4,Low
13590,4,Low
13591,4,Low
13592,4,Low
13593,4,Low
13594,41,high
13595,3,Low
13596,4,Low
13597,4,Low
13598,4,Low
13599,4,Low
13600,4,Low
13601,4,Low
13602,4,Low
13603,4,Low
13604,4,Low
13605,4,Low
13606,7,Medium
13607,4,Low
13608,23,high
13609,6,Medium
13610,4,Low
13611,3,Low
13612,9,high
13613,9,high
13614,4,Low
13615,4,Low
13616,15,high
13617,23,high
13618,3,Low
13619,9,high
13620,8,high
13621,4,Low
13622,3,Low
13623,3,Low
13624,7,Medium
13625,13,high
13626,7,Medium
13627,10,high
13628,15,high
13629,9,high
13630,4,Low
13631,17,high
13632,10,high
13633,12,high
13634,4,Low
13635,17,high
13636,3,Low
13637,7,Medium
13638,25,high
13639,4,Low
13640,3,Low
13641,3,Low
13642,3,Low
13643,11,high
13644,17,high
13645,3,Low
13646,5,Medium
13647,6,Medium
13648,16,high
13649,16,high
13650,16,high
13651,4,Low
13652,4,Low
13653,27,high
13654,4,Low
13655,3,Low
13656,34,high
13657,13,high
13658,28,high
13659,17,high
13660,3,Low
13661,7,Medium
13662,4,Low
13663,4,Low
13664,5,Medium
13665,4,Low
13666,4,Low
13667,3,Low
13668,17,high
13669,12,high
13670,4,Low
13671,4,Low
13672,3,Low
13673,8,high
13674,4,Low
13675,4,Low
13676,17,high
13677,4,Low
13678,21,high
13679,6,Medium
13680,4,Low
13681,5,Medium
13682,6,Medium
13683,6,Medium
13684,3,Low
13685,3,Low
13686,3,Low
13687,20,high
13688,4,Low
13689,3,Low
13690,3,Low
13691,3,Low
13692,6,Medium
13693,4,Low
13694,3,Low
13695,3,Low
13696,28,high
13697,4,Low
13698,27,high
13699,4,Low
13700,3,Low
13701,4,Low
13702,3,Low
13703,31,high
13704,3,Low
13705,27,high
13706,3,Low
13707,4,Low
13708,4,Low
13709,13,high
13710,4,Low
13711,4,Low
13712,15,high
13713,4,Low
13714,18,high
13715,3,Low
13716,13,high
13717,13,high
13718,5,Medium
13719,4,Low
13720,10,high
13721,15,high
13722,4,Low
13723,6,Medium
13724,3,Low
13725,6,Medium
13726,6,Medium
13727,6,Medium
13728,7,Medium
13729,4,Low
13730,3,Low
13731,4,Low
13732,19,high
13733,5,Medium
13734,37,high
13735,3,Low
13736,4,Low
13737,4,Low
13738,4,Low
13739,19,high
13740,7,Medium
13741,8,high
13742,3,Low
13743,5,Medium
13744,6,Medium
13745,17,high
13746,6,Medium
13747,3,Low
13748,4,Low
13749,6,Medium
13750,8,high
13751,3,Low
13752,4,Low
13753,14,high
13754,12,high
13755,7,Medium
13756,3,Low
13757,29,high
13758,10,high
13759,3,Low
13760,29,high
13761,3,Low
13762,10,high
13763,3,Low
13764,6,Medium
13765,10,high
13766,3,Low
13767,32,high
13768,22,high
13769,3,Low
13770,3,Low
13771,4,Low
13772,3,Low
13773,16,high
13774,20,high
13775,3,Low
13776,3,Low
13777,3,Low
13778,3,Low
13779,7,Medium
13780,4,Low
13781,4,Low
13782,3,Low
13783,3,Low
13784,5,Medium
13785,4,Low
13786,4,Low
13787,3,Low
13788,4,Low
13789,3,Low
13790,3,Low
13791,3,Low
13792,3,Low
13793,7,Medium
13794,3,Low
13795,3,Low
13796,16,high
13797,3,Low
13798,6,Medium
13799,6,Medium
13800,6,Medium
13801,4,Low
13802,7,Medium
13803,3,Low
13804,4,Low
13805,3,Low
13806,11,high
13807,18,high
13808,4,Low
13809,13,high
13810,12,high
13811,4,Low
13812,5,Medium
13813,6,Medium
